"My Wishlist","Your Wish List"
"Your Wish List","Your Wish List"
"My Wishlist (%d item)","Your Wish List (%d)"
"My Wishlist (%d items)","Your Wish List (%d)"
"Hello, %s","Hello, %s"
"Your Account","Your Account"
"New customer?","New customer?"
"Start here","Start here"
"Your Orders","Your Orders"
"items","artículos"
"Cart","Cart"
"Edit your Cart","Edit your Cart"
"Your Cart (%s)","Your Cart (%s)"
"Shop","Shop"
"Back","Regresar"
"View All","View All"
"Your shopping cart is currently empty.","Your shopping cart is currently empty."
"Filter","Filtro"
"asc.","ascendente"
"desc.","descendente"
"Back to Top","Regresar arriba"
"Subscribe to our Newsletter","Suscríbase a nuestro newsletter"
"Enter your email","Ingrese su correo electrónico"
"Product Description","Descripción del Producto"
"Additional Info","Información Adicional"
"Custom Info","Custom Info"
"Ratings & Reviews","Ratings & Reviews"
"Tags","Tags"
"Add your tags","Agregue sus tags"
"Already Registered?","Already Registered?"
"Sign in","Sign in"
"Hello. Sign in","Hello. Sign in"
"Show more details","Show more details"
"Show less details","Show less details"
"Chinese","Chinese"
"Dutch","Dutch"
"English","English"
"French","French"
"German","German"
"Italian","Italian"
"Japanese","Japanese"
"Norwegian","Norwegian"
"Portuguese","Portuguese"
"Russian","Russian"
"Spanish","Spanish"
"Swedish","Swedish"
"Please enter your new password.","Please enter your new password."
"customer reviews","customer reviews"
"reviews","reviews"
"review","review"
"To buy, select <strong>%s</strong>","To buy, select <strong>%s</strong>"
"Choose from options to the left","Choose from options to the left"
"To buy, select quantities to the left","To buy, select quantities to the left"
" and "," y "
"Please check your spelling, try more general words or use synonyms.","Intente nuevamente"
"Top Destinations","Páginas más visitadas"
"Account menu","Account menu"
"Male","Male"
"Female","Female"
"Select an Option","Seleccione una opción"
"Accept","Aceptar"
"Product Detail","Detalles del Producto"
"Ratings & Reviews for","Ratings & Reviews for"
"Quick View","Vista Rápida"
"View Details","Ver Detalles"
"View Cart","View Cart"
"Position asc.","Position asc."
"Position desc.","Position desc."
"Name asc.","ascendente"
"Name desc.","descendente"
"Price asc.","Price asc."
"Price desc.","Price desc."
"Customers Who Bought Items in Your Cart Also Bought","Customers Who Bought Items in Your Cart Also Bought"
"Customers Who Viewed This Item Also Viewed","Customers Who Viewed This Item Also Viewed"
"Customers Who Bought This Item Also Bought","Customers Who Bought This Item Also Bought"
"Email to a Friend","Email"
"Related Products","PRODUCTOS RELACIONADOS"
"Next","Próximo"
"Prev","Anterior"
"Items","Artykuły"
"Sort By","Ordenar por"
"Show","Mostrar"
"Category","Categoría"
"Home","Inicio"
"Search entire store here...","buscar"
"Items %s to %s of %s total","Artículos del %s al %s del total de %s"
"%s Item(s)","%s artículo(s)"
"items per page","artículos por página"
"Yes","Sí"
"Back to all","Volver a"